sold_in_30,asking_price,bedrooms,bathrooms,heating,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,yr_built,yr_renovated
0,304900.0,4,1.75,gas,2600,11325,1.0,poor,good,7,1610,1969,0.0
1,170000.0,2,1.0,gas,860,5265,1.0,poor,average,6,860,1931,0.0
0,2050000.0,5,3.0,oil,3830,8480,2.0,fair,very good,9,2630,1905,1994.0
1,780000.0,4,2.5,oil,3500,7048,2.0,poor,average,9,3500,2005,0.0
0,330000.0,3,3.0,gas,2420,13959,1.0,poor,good,8,1740,1988,0.0
0,467000.0,5,2.25,gas,2500,13500,1.0,poor,average,7,1850,1979,0.0
1,405000.0,3,1.75,oil,1670,6720,1.0,poor,average,7,1140,1980,0.0
1,675000.0,5,2.25,gas,2900,10300,1.0,poor,average,8,1450,1985,0.0
0,630000.0,4,1.75,electric,2950,9025,1.0,average,good,8,1780,1975,0.0
1,360000.0,4,2.5,gas,2160,9528,2.0,poor,average,9,2160,1992,0.0
1,580000.0,4,3.0,electric,3280,11060,2.0,poor,average,8,2270,1986,0.0
0,879000.0,4,2.5,gas,3360,22111,2.0,poor,average,10,3360,1994,0.0
1,315000.0,3,2.25,oil,2200,8750,1.0,poor,good,7,1120,1964,0.0
0,550000.0,4,2.75,oil,1800,7750,1.0,poor,good,8,1400,1965,0.0
1,610750.0,4,2.25,gas,2180,7297,2.0,poor,average,8,2180,1984,0.0
1,201000.0,5,1.75,oil,1660,78408,1.5,poor,average,6,1660,1915,0.0
0,1380000.0,4,3.25,oil,4290,12103,1.0,good,average,11,2690,1997,0.0
0,487000.0,3,2.0,oil,2590,14052,1.0,poor,very good,8,1720,1948,0.0
1,390000.0,3,2.5,gas,1930,64904,1.0,poor,good,8,1930,1988,0.0
1,548000.0,2,1.0,oil,1470,3864,1.0,poor,good,7,1170,1916,0.0
1,268750.0,4,1.0,oil,800,8775,1.0,poor,average,6,800,1943,0.0
1,232000.0,2,1.0,electric,1240,12092,1.0,poor,average,6,960,1922,1984.0
1,240500.0,2,1.0,oil,1240,12092,1.0,poor,average,6,960,1922,1984.0
0,790000.0,3,2.25,oil,2370,10289,1.0,poor,good,9,1590,1977,0.0
0,295000.0,3,2.0,gas,1810,10530,1.0,average,average,8,1810,1991,0.0
1,640000.0,2,1.0,electric,1070,5000,1.0,poor,average,7,1070,1924,0.0
1,260000.0,4,2.5,oil,1960,5238,2.0,poor,average,7,1960,2003,0.0
0,791500.0,4,2.0,oil,1510,3500,1.5,poor,very good,7,1510,1911,0.0
1,265000.0,3,1.75,oil,1420,8250,1.0,poor,average,7,1420,1954,0.0
1,245000.0,3,1.75,oil,1740,11547,1.0,poor,average,7,1740,1954,0.0
1,485000.0,4,1.75,other,2560,43995,2.0,poor,good,7,2560,1962,0.0
1,684000.0,4,3.5,oil,3040,8414,2.0,poor,average,9,2420,2010,0.0
1,425000.0,3,1.75,gas,2500,6840,1.0,poor,average,8,1300,1957,0.0
1,309600.0,4,1.75,oil,1275,20000,1.0,poor,good,6,1275,1991,0.0
1,165000.0,4,1.0,oil,1000,7134,1.0,poor,average,6,1000,1943,0.0
1,387000.0,4,1.75,oil,2500,7690,1.0,poor,average,7,1250,1973,0.0
1,299000.0,1,0.75,electric,560,12120,1.0,poor,average,4,560,1967,0.0
0,437500.0,2,1.0,oil,990,3120,1.0,average,very good,7,790,1907,0.0
1,252000.0,4,1.5,gas,1550,19800,1.0,poor,good,7,1050,1969,0.0
1,420000.0,4,1.0,electric,1750,9600,1.5,poor,good,7,1750,1954,0.0
1,463000.0,3,2.5,oil,1640,29970,2.0,poor,average,7,1640,1992,0.0
0,380000.0,5,2.5,gas,2760,11340,2.0,poor,good,9,2760,1978,0.0
0,604950.0,3,2.5,electric,2110,5608,1.0,poor,average,8,1340,2013,0.0
0,673000.0,4,2.5,oil,2990,10400,2.0,poor,average,9,2990,2002,0.0
1,338000.0,4,3.0,electric,2090,7500,1.0,poor,average,7,1370,1986,0.0
1,280000.0,3,2.25,oil,1430,7222,2.0,poor,average,7,1430,1993,0.0
0,530000.0,4,2.25,oil,2180,10754,1.0,poor,very good,7,1100,1954,0.0
0,380000.0,5,3.0,gas,3450,9914,2.0,poor,average,9,3450,2004,0.0
0,730000.0,4,2.5,oil,3230,7331,2.0,poor,average,10,3230,2004,0.0
1,450000.0,3,1.75,oil,1640,13500,1.0,poor,average,7,1110,1940,0.0
1,275000.0,3,3.0,oil,1590,7750,1.0,poor,average,7,1060,1997,0.0
1,270000.0,2,1.5,oil,1380,209959,1.0,poor,poor,6,1380,1954,0.0
0,950000.0,3,3.0,electric,4040,14338,2.0,poor,average,10,3030,1986,0.0
1,560000.0,4,2.25,oil,2550,7800,1.0,poor,average,8,1580,1968,0.0
0,799000.0,4,2.25,electric,2510,11585,2.0,poor,good,8,2510,1969,0.0
1,365500.0,3,2.0,other,1410,9600,1.0,poor,good,7,1410,1983,0.0
1,252350.0,3,2.0,oil,1650,7352,1.0,poor,average,7,1160,1979,0.0
1,403950.0,4,2.5,oil,2120,13780,2.0,poor,average,8,2120,1993,0.0
1,490000.0,3,2.75,oil,1980,3128,2.0,poor,good,9,1980,1979,0.0
1,330000.0,3,2.5,electric,1600,26977,2.0,poor,average,8,1600,2005,0.0
0,530000.0,5,2.25,electric,2720,8800,1.0,poor,good,7,1500,1958,0.0
1,365000.0,4,2.0,oil,1940,25600,1.0,poor,poor,8,1940,1962,0.0
0,269900.0,4,1.75,gas,1530,8750,1.5,poor,good,7,1530,1968,0.0
1,360000.0,4,1.75,oil,3730,16980,1.0,poor,good,7,2150,1974,0.0
0,352000.0,2,1.0,gas,940,5000,1.0,poor,good,7,940,1937,0.0
1,437000.0,3,2.5,other,1750,22357,2.0,poor,average,8,1750,1994,0.0
1,322500.0,4,2.5,gas,1820,6753,2.0,poor,average,7,1820,1994,0.0
0,650000.0,3,3.25,oil,1510,2000,2.0,poor,average,9,1330,2001,0.0
1,278500.0,3,2.0,oil,1570,5250,1.0,poor,average,7,1570,1998,0.0
1,364950.0,4,2.5,gas,1930,6957,2.0,poor,average,8,1930,1995,0.0
1,517534.0,2,1.0,oil,833,143947,1.0,poor,average,5,833,2006,0.0
1,563500.0,4,1.75,oil,2085,174240,1.0,poor,average,7,1610,1964,0.0
0,423000.0,4,2.25,oil,2200,9351,1.0,poor,very good,7,1290,1962,0.0
1,380000.0,3,2.5,electric,2280,10255,2.0,poor,good,8,2280,1985,0.0
1,375000.0,2,1.0,gas,940,5120,1.0,poor,average,7,940,1909,0.0
0,245000.0,3,2.5,oil,1530,8500,1.0,poor,very good,7,1030,1996,0.0
1,310000.0,5,1.75,oil,2190,27260,1.0,poor,good,7,2190,1947,0.0
0,1300000.0,3,2.0,gas,2350,15021,1.0,poor,good,8,1770,1976,0.0
1,397000.0,4,2.0,electric,1440,7680,1.0,poor,average,7,1200,1971,0.0
0,988000.0,4,3.0,oil,4040,19700,2.0,poor,average,11,4040,1987,0.0
0,1000000.0,4,2.5,gas,2610,3277,1.5,poor,very good,8,1920,1922,0.0
1,237000.0,3,2.5,electric,1490,2138,2.0,poor,average,7,1490,2005,0.0
0,525000.0,4,2.5,gas,2450,5280,2.0,poor,average,8,2450,2003,0.0
0,722500.0,5,2.5,oil,4870,11800,2.0,poor,average,10,3470,1983,0.0
0,843000.0,3,2.5,gas,3130,8750,2.0,poor,average,10,3130,1991,0.0
1,641000.0,2,1.0,oil,1420,5332,1.0,poor,average,8,1070,1953,0.0
1,350000.0,3,1.5,oil,1250,219978,1.0,poor,good,6,1250,1980,0.0
1,205000.0,3,1.0,oil,940,7980,1.0,poor,good,7,940,1960,0.0
1,400000.0,3,1.75,gas,1920,9102,1.0,poor,average,7,1920,1968,0.0
1,505000.0,3,2.0,oil,1260,5460,1.0,poor,average,7,1260,1972,0.0
0,520000.0,3,2.25,oil,2590,9263,1.0,poor,very good,8,1440,1977,0.0
0,1450000.0,3,4.5,oil,3970,24920,2.0,average,average,10,3260,1977,0.0
1,333500.0,3,1.75,oil,1220,9732,1.0,poor,average,7,1220,1965,0.0
0,811000.0,3,1.75,gas,1870,9897,1.0,poor,good,8,1870,1960,0.0
0,551000.0,3,2.5,gas,2830,5802,2.0,poor,average,9,2830,2001,0.0
1,496500.0,3,2.5,oil,2260,3640,2.0,poor,average,8,2260,1994,0.0
0,705000.0,3,3.0,oil,1970,20978,2.0,good,good,9,1770,1980,0.0
1,255000.0,3,1.75,gas,1240,8659,1.0,poor,very good,7,1240,1986,0.0
0,1050000.0,4,3.5,gas,3450,7832,2.0,poor,average,10,3450,2007,0.0
1,230000.0,3,2.0,gas,1510,3413,2.0,poor,average,7,1510,1985,0.0
1,330000.0,3,1.0,other,980,7000,1.0,poor,average,6,980,1953,0.0
1,325000.0,4,2.5,gas,1850,7324,2.0,poor,average,8,1850,1997,0.0
1,340500.0,3,2.0,electric,2270,28025,1.0,poor,good,7,1920,1947,0.0
1,290900.0,2,2.0,electric,1610,17600,2.0,poor,average,6,1610,1930,1983.0
0,868700.0,3,4.25,electric,3840,6161,2.0,poor,average,10,3840,2000,0.0
0,1200000.0,4,2.75,oil,4110,8400,2.0,fair,average,9,3130,1928,0.0
1,438924.0,3,1.5,gas,1050,4590,1.0,poor,average,7,850,1949,0.0
1,525000.0,3,1.5,oil,1350,6000,1.0,average,average,7,900,1950,0.0
0,699900.0,4,2.75,oil,2810,7302,2.0,poor,average,9,2810,2002,0.0
1,452000.0,4,1.5,gas,1580,7350,1.0,poor,good,7,960,1963,0.0
0,669950.0,5,2.5,gas,2820,14062,2.0,poor,good,7,2380,1960,0.0
1,490000.0,2,2.5,electric,1230,1391,2.0,poor,average,8,870,2004,0.0
1,437500.0,3,2.5,oil,2120,4500,2.0,poor,average,7,2120,2000,0.0
0,650000.0,4,2.5,gas,3180,5438,2.0,poor,average,9,3180,2003,0.0
1,475000.0,2,1.0,electric,1490,3825,1.0,poor,average,7,860,1929,0.0
0,280000.0,3,1.5,gas,1670,11610,1.0,poor,good,7,1670,1963,0.0
1,240000.0,2,1.75,gas,1330,7200,1.0,poor,average,7,1330,1993,0.0
1,615000.0,2,1.0,oil,1540,6872,1.0,poor,good,7,820,1946,0.0
0,1490000.0,4,3.75,gas,4030,10800,2.0,poor,average,10,4030,2006,0.0
0,585000.0,4,1.75,gas,2430,7559,1.0,poor,good,8,1580,1981,0.0
0,480000.0,4,2.5,gas,2600,7787,2.0,poor,average,8,2600,2005,0.0
0,1100000.0,5,3.5,gas,4410,57063,2.0,poor,good,9,4410,1990,0.0
1,290000.0,4,1.0,gas,1330,8184,1.5,poor,average,7,1330,1949,0.0
0,615000.0,3,1.75,electric,1900,5000,1.0,poor,very good,7,950,1951,0.0
1,300000.0,2,1.0,gas,1100,7680,1.0,poor,good,7,1100,1950,0.0
1,308000.0,3,1.0,oil,1980,39150,1.5,poor,average,6,1580,1932,0.0
0,2250000.0,4,2.25,oil,4760,8036,2.5,poor,very good,9,3390,1916,0.0
0,890000.0,4,3.25,gas,3180,194278,2.0,poor,average,10,3180,2005,0.0
0,190000.0,2,1.0,gas,630,6000,1.0,poor,average,6,630,1943,2005.0
1,235000.0,4,1.5,oil,1690,11054,1.0,poor,good,5,1690,1930,0.0
1,650000.0,4,2.5,oil,3040,6587,2.0,poor,average,7,3040,2003,0.0
1,365000.0,4,1.0,gas,1590,7085,1.5,poor,average,6,1590,1944,0.0
1,662000.0,3,1.75,gas,2500,36947,1.0,poor,average,9,2500,1984,0.0
1,270500.0,3,2.5,oil,1780,7848,1.0,poor,average,7,1320,1978,0.0
0,970000.0,4,3.25,oil,4740,76230,2.0,poor,average,10,4740,1987,0.0
0,160000.0,3,1.5,gas,1010,9600,1.0,poor,good,7,1010,1962,0.0
1,204000.0,3,1.0,electric,1040,7405,1.0,poor,good,6,1040,1971,0.0
1,358000.0,3,2.25,other,1610,6655,2.0,poor,good,7,1610,1985,0.0
1,595000.0,2,2.0,oil,1510,4000,1.0,poor,good,7,1010,1900,0.0
1,318888.0,4,1.75,oil,2320,12000,1.0,poor,good,8,2270,1973,0.0
0,910000.0,4,2.5,oil,3350,29242,2.0,poor,average,11,3350,1988,0.0
0,782000.0,4,2.5,oil,2380,9614,2.0,poor,good,10,2380,1991,0.0
1,315000.0,4,2.75,oil,2300,18360,1.0,poor,good,7,1560,1979,0.0
1,215000.0,2,1.0,other,1320,8865,1.0,poor,good,6,1320,1943,0.0
0,725000.0,4,2.5,gas,2990,29170,2.0,good,average,9,2990,1999,0.0
0,1950000.0,7,3.5,gas,4640,15235,2.0,fair,average,11,2860,1965,2003.0
1,238000.0,4,1.0,oil,1400,7242,1.5,poor,average,7,1400,1959,0.0
1,331500.0,4,2.5,electric,2050,10271,2.0,poor,average,7,2050,1998,0.0
0,404950.0,4,2.25,other,2340,217014,1.0,poor,good,8,2340,1982,0.0
1,880000.0,3,2.5,electric,2870,5163,2.0,poor,average,9,2870,2014,0.0
0,863000.0,4,2.5,oil,4120,22370,2.0,poor,average,10,4120,1997,0.0
1,435000.0,3,2.5,oil,1840,5680,2.0,poor,average,7,1840,2008,0.0
1,260000.0,3,1.0,gas,1180,5350,1.5,poor,good,6,1180,1959,0.0
0,671500.0,5,2.75,oil,2160,4000,1.5,poor,very good,7,1530,1927,0.0
1,405000.0,2,0.75,electric,1160,15029,1.0,poor,good,6,870,1937,0.0
1,338900.0,4,2.5,gas,1830,5612,2.0,poor,average,7,1830,2003,0.0
0,442000.0,5,3.0,gas,2560,5445,1.5,poor,good,7,1760,1927,0.0
0,650000.0,5,2.75,gas,2550,5040,1.5,poor,very good,8,2550,1902,0.0
1,530000.0,4,2.5,oil,2320,5493,2.0,poor,average,8,2320,2004,0.0
1,264000.0,3,1.5,oil,1820,10608,1.0,poor,good,7,1820,1962,0.0
1,439000.0,4,2.25,oil,2060,10070,2.0,poor,average,7,2060,1975,0.0
1,330000.0,3,1.75,gas,1510,15744,1.0,poor,average,7,1510,1985,0.0
0,640000.0,3,2.5,gas,2160,4000,1.5,poor,average,8,1960,1903,2013.0
0,900000.0,3,2.5,oil,3180,12600,2.0,poor,good,11,3180,1978,0.0
0,370000.0,3,2.25,electric,2110,13300,2.0,poor,good,8,2110,1985,0.0
0,685000.0,3,2.0,gas,2060,2900,1.5,poor,very good,8,1330,1931,0.0
0,290000.0,3,2.5,gas,1610,2937,2.0,poor,average,8,1610,2006,0.0
1,360000.0,4,2.5,oil,1840,9611,2.0,poor,average,7,1840,1996,0.0
0,595000.0,3,2.5,oil,3370,14402,2.0,average,average,9,3370,2004,0.0
0,515000.0,4,3.0,gas,3590,8249,2.0,poor,average,9,3590,1997,0.0
0,1220000.0,4,2.25,oil,3200,15367,2.0,poor,good,9,3200,1962,0.0
1,507000.0,2,1.75,gas,1670,6460,1.0,poor,average,8,1670,2004,0.0
1,399950.0,4,2.0,electric,2420,31465,1.0,poor,average,9,2420,1984,0.0
